ticket_id,customer_id,created_date,channel,category,priority,status,resolution_time_hours,satisfaction_rating,related_order_id
TCK00068,CUST00223,2026-08-17 01:57:44.130675,Instagram DM,Payment Issue,Low,Open,,,
TCK00069,CUST00282,2026-08-27 00:57:44.130675,WhatsApp,Delivery Issue,High,Resolved,39.1,4.0,ORD000822
TCK00070,CUST00177,2026-05-21 07:57:44.130675,WhatsApp,General Inquiry,Low,Resolved,28.3,5.0,
TCK00071,CUST00277,2026-07-12 22:57:44.130675,Instagram DM,Product Defect,Urgent,Escalated,38.3,,ORD000421
TCK00072,CUST00261,2026-07-01 21:57:44.130675,Email,General Inquiry,Low,Escalated,59.1,,ORD000064
TCK00073,CUST00024,2026-08-21 02:57:44.130675,Instagram DM,Payment Issue,Medium,Resolved,11.2,5.0,ORD000409
TCK00074,CUST00153,2026-08-06 23:57:44.130675,Facebook Messenger,Wrong Item,Low,Resolved,67.0,5.0,ORD001016
TCK00075,CUST00200,2026-05-31 23:57:44.130675,WhatsApp,Payment Issue,Low,Resolved,49.6,,ORD000927
TCK00076,CUST00159,2026-07-25 21:57:44.130675,Phone,General Inquiry,Low,Resolved,24.1,5.0,ORD000906
TCK00077,CUST00207,2026-08-01 09:57:44.130675,Email,Refund Request,Low,Resolved,15.7,5.0,
TCK00078,CUST00096,2026-07-30 22:57:44.130675,Facebook Messenger,Order Delay,High,Resolved,31.0,1.0,
TCK00079,CUST00208,2026-06-17 08:57:44.130675,Email,Wrong Item,Medium,Escalated,58.9,,ORD000422
TCK00080,CUST00023,2026-08-17 11:57:44.130675,WhatsApp,Payment Issue,High,Resolved,46.2,2.0,ORD001436
TCK00081,CUST00279,2026-06-15 00:57:44.130675,Phone,Delivery Issue,Medium,Resolved,27.2,5.0,ORD001348
TCK00082,CUST00014,2026-07-22 02:57:44.130675,Facebook Messenger,General Inquiry,Low,Resolved,54.1,,ORD000303
TCK00083,CUST00151,2026-05-18 22:57:44.130675,Email,Payment Issue,Medium,Resolved,5.4,2.0,
TCK00084,CUST00047,2026-07-27 21:57:44.130675,Instagram DM,Wrong Item,Medium,Open,,,
TCK00085,CUST00192,2026-06-01 00:57:44.130675,WhatsApp,Wrong Item,Low,Open,,,ORD000571
TCK00086,CUST00296,2026-08-30 08:57:44.130675,Phone,General Inquiry,Medium,Escalated,16.4,,ORD000434
TCK00087,CUST00004,2026-07-19 22:57:44.130675,Instagram DM,Order Delay,Medium,Open,,,
TCK00088,CUST00286,2026-06-05 06:57:44.130675,Email,Order Delay,Medium,Resolved,51.1,2.0,
TCK00089,CUST00072,2026-05-27 23:57:44.130675,WhatsApp,Payment Issue,Low,Escalated,16.2,,ORD000771
TCK00090,CUST00136,2026-06-03 21:57:44.130675,WhatsApp,Delivery Issue,Low,Escalated,62.8,,
TCK00091,CUST00242,2026-06-14 04:57:44.130675,Phone,Wrong Item,Medium,Resolved,67.4,4.0,ORD001233
TCK00092,CUST00205,2026-07-14 01:57:44.130675,WhatsApp,Order Delay,Medium,Escalated,1.0,,
TCK00093,CUST00068,2026-06-10 11:57:44.130675,WhatsApp,Delivery Issue,Low,Open,,,ORD000557
TCK00094,CUST00220,2026-08-01 10:57:44.130675,Email,Refund Request,Medium,Resolved,67.9,3.0,ORD000389
TCK00095,CUST00063,2026-07-11 21:57:44.130675,Facebook Messenger,Payment Issue,Medium,Resolved,39.3,4.0,
TCK00096,CUST00101,2026-08-04 10:57:44.130675,WhatsApp,Product Defect,Low,Escalated,66.7,,ORD000478
TCK00097,CUST00070,2026-08-24 04:57:44.130675,WhatsApp,Refund Request,High,Escalated,52.0,,ORD000177
TCK00098,CUST00285,2026-08-30 07:57:44.130675,Instagram DM,Delivery Issue,Medium,Resolved,43.4,2.0,
TCK00099,CUST00056,2026-09-07 06:57:44.130675,Instagram DM,Payment Issue,Medium,Open,,,ORD000087
TCK00100,CUST00034,2026-07-01 21:57:44.130675,Facebook Messenger,Payment Issue,Low,Resolved,12.2,4.0,
TCK00101,CUST00141,2026-05-18 05:57:44.130675,WhatsApp,Delivery Issue,High,Resolved,29.5,1.0,ORD001122
TCK00102,CUST00256,2026-09-01 21:57:44.130675,WhatsApp,Wrong Item,Low,Escalated,50.7,,
TCK00103,CUST00167,2026-09-02 00:57:44.130675,Email,Wrong Item,Medium,Resolved,30.9,4.0,ORD000114
TCK00104,CUST00257,2026-05-19 06:57:44.130675,WhatsApp,Refund Request,High,Resolved,59.7,,ORD000577
TCK00105,CUST00280,2026-07-12 06:57:44.130675,Email,General Inquiry,Medium,Escalated,16.3,,ORD001440
TCK00106,CUST00009,2026-08-03 01:57:44.130675,Email,General Inquiry,Low,Resolved,22.3,,
TCK00107,CUST00274,2026-06-09 02:57:44.130675,Email,Refund Request,Medium,Resolved,48.7,5.0,
TCK00108,CUST00050,2026-09-07 06:57:44.130675,Phone,Payment Issue,Urgent,Resolved,14.5,,ORD001392
TCK00109,CUST00151,2026-07-07 22:57:44.130675,Phone,General Inquiry,Low,Open,,,
TCK00110,CUST00067,2026-06-04 09:57:44.130675,Instagram DM,Payment Issue,Medium,Open,,,ORD000513
TCK00111,CUST00071,2026-08-23 03:57:44.130675,Instagram DM,Refund Request,Medium,Open,,,
TCK00112,CUST00205,2026-06-26 06:57:44.130675,Instagram DM,General Inquiry,High,Escalated,9.6,,
TCK00113,CUST00024,2026-08-12 03:57:44.130675,WhatsApp,Refund Request,Low,Open,,,ORD001217
TCK00114,CUST00033,2026-08-21 04:57:44.130675,Email,Payment Issue,High,Resolved,3.7,3.0,ORD001396
TCK00115,CUST00104,2026-06-05 02:57:44.130675,Email,Product Defect,Low,Resolved,20.1,5.0,
TCK00116,CUST00268,2026-05-18 05:57:44.130675,Instagram DM,Wrong Item,Medium,Resolved,53.8,2.0,ORD000876
TCK00117,CUST00077,2026-07-03 10:57:44.130675,WhatsApp,Delivery Issue,Low,Resolved,24.8,4.0,ORD000309
TCK00118,CUST00191,2026-06-11 08:57:44.130675,Phone,Order Delay,Low,Resolved,37.3,4.0,ORD000155
TCK00119,CUST00064,2026-06-17 23:57:44.130675,WhatsApp,General Inquiry,Low,Resolved,52.4,3.0,
TCK00120,CUST00116,2026-07-31 01:57:44.130675,WhatsApp,Payment Issue,High,Resolved,64.1,2.0,ORD000014
TCK00121,CUST00249,2026-08-29 11:57:44.130675,Instagram DM,Product Defect,Low,Escalated,66.7,,
TCK00122,CUST00247,2026-09-04 00:57:44.130675,Instagram DM,Payment Issue,Medium,Open,,,
TCK00123,CUST00059,2026-06-24 21:57:44.130675,Phone,General Inquiry,Low,Resolved,7.4,2.0,ORD000158
TCK00124,CUST00056,2026-07-29 10:57:44.130675,WhatsApp,Order Delay,High,Escalated,6.3,,ORD000661
TCK00125,CUST00177,2026-09-05 01:57:44.130675,Phone,General Inquiry,High,Resolved,70.1,5.0,
TCK00126,CUST00232,2026-08-12 02:57:44.130675,Email,Payment Issue,High,Resolved,36.5,4.0,
TCK00127,CUST00273,2026-07-10 00:57:44.130675,Facebook Messenger,Product Defect,Medium,Resolved,36.4,,
TCK00128,CUST00096,2026-06-06 02:57:44.130675,Facebook Messenger,Delivery Issue,Low,Resolved,21.6,4.0,ORD001081
TCK00129,CUST00284,2026-07-24 07:57:44.130675,WhatsApp,Wrong Item,Low,Escalated,54.6,,ORD001115
TCK00130,CUST00096,2026-07-03 00:57:44.130675,Instagram DM,Refund Request,Low,Escalated,53.1,,
TCK00131,CUST00223,2026-07-13 03:57:44.130675,Phone,Refund Request,Medium,Open,,,ORD000850
TCK00132,CUST00257,2026-07-26 04:57:44.130675,Phone,Order Delay,Medium,Resolved,23.4,3.0,ORD000459
TCK00133,CUST00111,2026-06-27 00:57:44.130675,Phone,General Inquiry,Low,Resolved,49.4,4.0,ORD000429
TCK00134,CUST00018,2026-06-04 03:57:44.130675,Phone,Payment Issue,Low,Resolved,7.3,2.0,ORD000005
TCK00135,CUST00199,2026-06-14 21:57:44.130675,WhatsApp,Wrong Item,High,Resolved,1.6,4.0,ORD000849
TCK00136,CUST00237,2026-07-05 11:57:44.130675,Email,Wrong Item,High,Resolved,25.7,4.0,ORD000712
TCK00137,CUST00186,2026-09-03 04:57:44.130675,Facebook Messenger,Product Defect,High,Resolved,58.5,5.0,
TCK00138,CUST00240,2026-09-14 04:57:44.130675,WhatsApp,Order Delay,Low,Resolved,45.0,1.0,
TCK00139,CUST00155,2026-08-27 07:57:44.130675,Instagram DM,General Inquiry,Medium,Resolved,16.7,4.0,
TCK00140,CUST00269,2026-08-17 03:57:44.130675,Instagram DM,Order Delay,High,Resolved,53.0,,ORD001160
TCK00141,CUST00294,2026-08-16 11:57:44.130675,Instagram DM,Product Defect,Medium,Resolved,8.8,5.0,ORD001167
TCK00142,CUST00148,2026-09-12 00:57:44.130675,Instagram DM,Payment Issue,Low,Escalated,9.6,,
TCK00143,CUST00118,2026-06-13 22:57:44.130675,Instagram DM,Wrong Item,Low,Resolved,12.5,1.0,
TCK00144,CUST00061,2026-07-12 21:57:44.130675,Email,Delivery Issue,High,Resolved,32.7,4.0,
TCK00145,CUST00255,2026-07-28 04:57:44.130675,Email,Order Delay,Medium,Resolved,33.4,4.0,ORD000610
TCK00146,CUST00002,2026-09-05 09:57:44.130675,Phone,Refund Request,Urgent,Resolved,29.3,3.0,ORD001066
TCK00147,CUST00093,2026-09-03 23:57:44.130675,Instagram DM,Product Defect,Low,Resolved,62.4,4.0,
TCK00148,CUST00285,2026-07-21 03:57:44.130675,Email,Payment Issue,Medium,Escalated,12.3,,ORD000441
TCK00149,CUST00006,2026-08-27 00:57:44.130675,Email,Delivery Issue,High,Escalated,15.2,,
TCK00150,CUST00019,2026-09-02 03:57:44.130675,Phone,Refund Request,Medium,Escalated,12.4,,ORD000138
TCK00151,CUST00104,2026-07-26 02:57:44.130675,Email,Delivery Issue,High,Resolved,7.3,4.0,
TCK00152,CUST00288,2026-07-23 09:57:44.130675,WhatsApp,Order Delay,Urgent,Resolved,41.8,5.0,
TCK00153,CUST00134,2026-08-28 03:57:44.130675,Facebook Messenger,Order Delay,Low,Resolved,7.5,5.0,
TCK00154,CUST00010,2026-07-16 05:57:44.130675,Email,General Inquiry,Medium,Resolved,34.4,4.0,
TCK00155,CUST00211,2026-06-19 07:57:44.130675,Email,General Inquiry,Low,Escalated,7.3,,ORD000669
TCK00156,CUST00133,2026-08-29 07:57:44.130675,Facebook Messenger,Order Delay,Medium,Resolved,41.4,,ORD000306
TCK00157,CUST00210,2026-09-11 22:57:44.130675,Facebook Messenger,Delivery Issue,Low,Resolved,55.1,,ORD000406
TCK00158,CUST00250,2026-07-16 03:57:44.130675,Email,General Inquiry,Low,Escalated,35.7,,
TCK00159,CUST00159,2026-07-10 22:57:44.130675,WhatsApp,Refund Request,Low,Resolved,60.1,2.0,ORD000990
TCK00160,CUST00281,2026-08-25 10:57:44.130675,Instagram DM,Payment Issue,Low,Escalated,2.2,,ORD000246
TCK00161,CUST00007,2026-09-03 23:57:44.130675,Phone,Payment Issue,Medium,Resolved,14.8,4.0,
TCK00162,CUST00055,2026-05-21 22:57:44.130675,Email,Wrong Item,Medium,Resolved,6.4,1.0,ORD000954
TCK00163,CUST00129,2026-08-21 00:57:44.130675,Phone,General Inquiry,Low,Open,,,ORD001059
TCK00164,CUST00269,2026-08-02 21:57:44.130675,Phone,Order Delay,High,Resolved,0.7,5.0,
TCK00165,CUST00010,2026-09-11 10:57:44.130675,Email,Payment Issue,Medium,Resolved,59.5,2.0,ORD000154
TCK00166,CUST00294,2026-06-15 05:57:44.130675,Phone,Refund Request,Medium,Resolved,27.8,5.0,ORD000367
TCK00167,CUST00061,2026-07-31 07:57:44.130675,WhatsApp,Payment Issue,Low,Open,,,ORD000302
TCK00168,CUST00030,2026-07-12 01:57:44.130675,Email,General Inquiry,High,Resolved,48.7,,
TCK00169,CUST00241,2026-09-09 01:57:44.130675,WhatsApp,Delivery Issue,High,Resolved,44.9,4.0,ORD000144
TCK00170,CUST00251,2026-07-13 06:57:44.130675,Phone,Order Delay,Low,Resolved,11.7,4.0,ORD000795
TCK00171,CUST00256,2026-05-30 10:57:44.130675,Facebook Messenger,Delivery Issue,High,Open,,,
TCK00172,CUST00218,2026-09-03 03:57:44.130675,Instagram DM,Wrong Item,Medium,Resolved,58.9,5.0,
TCK00173,CUST00243,2026-05-22 11:57:44.130675,Facebook Messenger,Wrong Item,Medium,Escalated,25.0,,
TCK00174,CUST00109,2026-07-18 10:57:44.130675,Facebook Messenger,Payment Issue,Medium,Escalated,21.5,,ORD000111
TCK00175,CUST00103,2026-05-23 23:57:44.130675,Facebook Messenger,Refund Request,Low,Open,,,ORD000939
TCK00176,CUST00136,2026-09-08 09:57:44.130675,Email,General Inquiry,Medium,Resolved,43.0,5.0,ORD001482
TCK00177,CUST00041,2026-08-30 06:57:44.130675,Email,Wrong Item,High,Resolved,70.0,4.0,ORD000209
TCK00178,CUST00067,2026-09-11 01:57:44.130675,Email,Order Delay,High,Resolved,46.8,4.0,ORD001180
TCK00179,CUST00140,2026-08-02 07:57:44.130675,Instagram DM,General Inquiry,Low,Resolved,40.5,4.0,
TCK00180,CUST00179,2026-06-20 02:57:44.130675,Email,General Inquiry,High,Resolved,17.4,1.0,
TCK00181,CUST00273,2026-07-18 05:57:44.130675,Facebook Messenger,Product Defect,Medium,Resolved,27.3,4.0,
TCK00182,CUST00062,2026-07-31 00:57:44.130675,Facebook Messenger,Refund Request,Medium,Resolved,52.1,5.0,
TCK00183,CUST00015,2026-07-23 21:57:44.130675,Phone,Product Defect,Medium,Resolved,58.5,1.0,
TCK00184,CUST00198,2026-09-07 01:57:44.130675,Facebook Messenger,Product Defect,High,Resolved,25.6,5.0,
TCK00185,CUST00073,2026-06-26 22:57:44.130675,Phone,Wrong Item,Medium,Resolved,57.9,,
TCK00186,CUST00203,2026-07-12 00:57:44.130675,Phone,Wrong Item,Medium,Resolved,64.2,5.0,
TCK00187,CUST00222,2026-08-26 11:57:44.130675,WhatsApp,Product Defect,Low,Open,,,
TCK00188,CUST00101,2026-06-04 11:57:44.130675,Instagram DM,General Inquiry,Medium,Open,,,ORD000351
TCK00189,CUST00295,2026-06-05 09:57:44.130675,Email,Payment Issue,High,Resolved,51.2,1.0,
TCK00190,CUST00224,2026-05-19 23:57:44.130675,WhatsApp,Refund Request,High,Open,,,ORD000009
TCK00191,CUST00154,2026-06-27 22:57:44.130675,Instagram DM,Wrong Item,Medium,Open,,,ORD000399
TCK00192,CUST00121,2026-08-07 04:57:44.130675,WhatsApp,Refund Request,Low,Resolved,37.6,5.0,ORD001291
TCK00193,CUST00243,2026-07-14 10:57:44.130675,Instagram DM,General Inquiry,Low,Resolved,19.8,4.0,ORD001032
TCK00194,CUST00096,2026-08-11 09:57:44.130675,Phone,Order Delay,Medium,Resolved,29.8,,ORD001407
TCK00195,CUST00278,2026-05-25 04:57:44.130675,WhatsApp,Product Defect,Medium,Resolved,46.0,4.0,
TCK00196,CUST00292,2026-07-08 11:57:44.130675,WhatsApp,Product Defect,Low,Resolved,62.2,,ORD001263
TCK00197,CUST00053,2026-08-08 06:57:44.130675,Facebook Messenger,Product Defect,Medium,Escalated,69.5,,
TCK00198,CUST00259,2026-07-13 21:57:44.130675,WhatsApp,Refund Request,Medium,Resolved,66.0,1.0,
TCK00199,CUST00016,2026-08-22 03:57:44.130675,Phone,Wrong Item,Low,Resolved,9.0,1.0,
TCK00200,CUST00155,2026-07-24 00:57:44.130675,Phone,General Inquiry,Medium,Escalated,49.2,,ORD001235
TCK00201,CUST00180,2026-08-28 21:57:44.130675,Phone,Product Defect,Medium,Resolved,18.7,4.0,
TCK00202,CUST00135,2026-08-14 07:57:44.130675,Instagram DM,Product Defect,Medium,Resolved,62.6,1.0,
TCK00203,CUST00284,2026-06-10 22:57:44.130675,Instagram DM,Product Defect,High,Open,,,
TCK00204,CUST00043,2026-08-28 01:57:44.130675,Phone,Refund Request,Medium,Resolved,53.4,4.0,
TCK00205,CUST00137,2026-07-21 10:57:44.130675,WhatsApp,General Inquiry,Medium,Resolved,68.3,4.0,
TCK00206,CUST00096,2026-08-01 00:57:44.130675,WhatsApp,Refund Request,Medium,Resolved,14.8,4.0,ORD001099
TCK00207,CUST00028,2026-08-31 02:57:44.130675,WhatsApp,Delivery Issue,Low,Resolved,30.8,4.0,
TCK00208,CUST00206,2026-08-08 21:57:44.130675,Phone,Product Defect,Low,Resolved,43.9,3.0,
TCK00209,CUST00181,2026-07-02 10:57:44.130675,Email,Order Delay,Urgent,Open,,,ORD000849
TCK00210,CUST00141,2026-08-08 06:57:44.130675,WhatsApp,Payment Issue,Low,Resolved,57.9,,ORD000771
TCK00211,CUST00183,2026-05-20 22:57:44.130675,Facebook Messenger,Order Delay,Medium,Resolved,62.4,4.0,ORD001339
TCK00212,CUST00273,2026-06-03 00:57:44.130675,Facebook Messenger,Delivery Issue,Low,Resolved,48.0,5.0,
TCK00213,CUST00064,2026-06-03 09:57:44.130675,WhatsApp,General Inquiry,Low,Resolved,22.0,1.0,
TCK00214,CUST00230,2026-07-01 01:57:44.130675,Facebook Messenger,General Inquiry,Low,Escalated,21.1,,
TCK00215,CUST00105,2026-07-19 06:57:44.130675,Instagram DM,Payment Issue,Medium,Open,,,
TCK00216,CUST00168,2026-06-21 10:57:44.130675,Facebook Messenger,General Inquiry,High,Resolved,46.1,4.0,
TCK00217,CUST00075,2026-07-24 23:57:44.130675,Facebook Messenger,Payment Issue,Medium,Open,,,ORD000953
TCK00218,CUST00051,2026-09-03 23:57:44.130675,Instagram DM,Wrong Item,Low,Escalated,25.9,,ORD001150
TCK00219,CUST00271,2026-07-16 07:57:44.130675,Instagram DM,Delivery Issue,Medium,Open,,,ORD000710
TCK00220,CUST00263,2026-07-31 21:57:44.130675,WhatsApp,General Inquiry,Medium,Resolved,4.3,4.0,
TCK00221,CUST00053,2026-06-20 08:57:44.130675,Email,Order Delay,High,Escalated,32.9,,
TCK00222,CUST00059,2026-07-22 05:57:44.130675,Email,Delivery Issue,Low,Resolved,42.3,3.0,
TCK00223,CUST00171,2026-06-23 03:57:44.130675,WhatsApp,Refund Request,High,Resolved,3.4,5.0,ORD000757
TCK00224,CUST00108,2026-07-01 09:57:44.130675,Email,Payment Issue,Low,Resolved,43.5,2.0,
TCK00225,CUST00229,2026-07-21 09:57:44.130675,Phone,Payment Issue,Low,Resolved,48.0,,
TCK00226,CUST00253,2026-07-14 07:57:44.130675,Email,Wrong Item,Medium,Open,,,ORD000784
TCK00227,CUST00264,2026-09-07 08:57:44.130675,Phone,Product Defect,High,Resolved,9.5,4.0,ORD000609
TCK00228,CUST00146,2026-08-03 21:57:44.130675,Email,Wrong Item,Medium,Resolved,35.8,5.0,ORD000040
TCK00229,CUST00237,2026-07-29 08:57:44.130675,Email,Delivery Issue,High,Open,,,ORD000952
TCK00230,CUST00216,2026-06-03 00:57:44.130675,Phone,Order Delay,Low,Escalated,24.9,,ORD000924
TCK00231,CUST00231,2026-06-30 11:57:44.130675,Phone,Refund Request,Low,Resolved,67.0,1.0,ORD000800
TCK00232,CUST00248,2026-08-25 23:57:44.130675,Phone,Wrong Item,Low,Resolved,35.6,2.0,
TCK00233,CUST00104,2026-08-30 02:57:44.130675,Email,Order Delay,Medium,Resolved,50.1,1.0,ORD000428
TCK00234,CUST00149,2026-07-03 02:57:44.130675,Email,Wrong Item,Medium,Escalated,17.7,,ORD001035
TCK00235,CUST00218,2026-09-13 03:57:44.130675,Instagram DM,Delivery Issue,Low,Resolved,69.0,4.0,
TCK00236,CUST00213,2026-09-13 07:57:44.130675,Phone,General Inquiry,Low,Open,,,
TCK00237,CUST00298,2026-08-04 02:57:44.130675,WhatsApp,Order Delay,Medium,Resolved,22.1,1.0,ORD001425
TCK00238,CUST00242,2026-07-16 22:57:44.130675,Instagram DM,Wrong Item,High,Resolved,65.6,2.0,
